"created,""currency"",""fee"",""net"""
"2020-05-28 18:24:40,""usd"",""0.48"",""12.47"""
"2020-05-28 18:46:26,""usd"",""0.68"",""12.27"""
"2020-05-28 19:36:50,""usd"",""0.48"",""12.47"""
"2020-05-28 19:39:42,""usd"",""0.48"",""12.47"""
"2020-05-28 20:58:34,""usd"",""0.48"",""12.47"""
"2020-05-28 21:10:55,""usd"",""0.68"",""12.27"""
"2020-05-28 21:42:02,""usd"",""0.68"",""12.27"""
"2020-05-28 23:23:18,""usd"",""0.48"",""12.47"""
"2020-05-28 23:24:59,""usd"",""0.38"",""5.46"""
"2020-05-28 23:31:07,""usd"",""0.51"",""14.27"""
"2020-05-29 00:02:20,""usd"",""0.68"",""12.27"""
"2020-05-29 00:38:58,""usd"",""0.68"",""12.27"""
"2020-05-29 00:42:57,""usd"",""0.68"",""12.27"""
"2020-05-29 02:03:04,""usd"",""0.94"",""20.99"""
"2020-05-29 03:22:02,""usd"",""0.73"",""14.05"""
"2020-05-29 03:39:05,""usd"",""0.68"",""12.27"""
"2020-05-29 03:48:17,""usd"",""0.73"",""14.05"""
"2020-05-29 03:48:20,""usd"",""0.68"",""12.27"""
"2020-05-29 05:52:20,""usd"",""0.68"",""12.27"""
"2020-05-29 05:54:01,""usd"",""0.73"",""14.05"""
"2020-05-29 07:31:40,""usd"",""0.48"",""12.47"""
"2020-05-29 09:52:30,""usd"",""0.52"",""15.55"""
"2020-05-29 14:05:38,""usd"",""0.68"",""12.27"""
"2020-05-29 14:42:06,""usd"",""0.68"",""12.27"""
"2020-05-29 14:44:59,""usd"",""0.68"",""12.27"""
"2020-05-29 14:55:59,""usd"",""0.68"",""12.27"""
"2020-05-29 16:08:53,""usd"",""0.68"",""12.27"""
"2020-05-29 16:25:40,""usd"",""0.68"",""12.27"""
"2020-05-29 16:42:56,""usd"",""0.48"",""12.47"""
"2020-05-29 17:49:31,""usd"",""0.68"",""12.27"""
"2020-05-29 18:48:48,""usd"",""0.68"",""12.27"""
"2020-05-29 19:50:18,""usd"",""0.68"",""12.27"""
"2020-05-29 20:16:58,""usd"",""0.68"",""12.27"""
"2020-05-29 21:21:09,""usd"",""0.68"",""12.27"""
"2020-05-29 21:32:02,""usd"",""0.68"",""12.27"""
"2020-05-29 22:03:13,""usd"",""0.68"",""12.27"""
"2020-05-29 22:30:28,""usd"",""0.68"",""12.27"""
"2020-05-29 22:50:36,""usd"",""0.68"",""12.27"""
"2020-05-29 23:57:20,""usd"",""0.48"",""12.47"""
"2020-05-30 00:49:28,""usd"",""0.68"",""12.27"""
"2020-05-30 01:34:56,""usd"",""0.68"",""12.27"""
"2020-05-30 02:36:11,""usd"",""0.68"",""12.27"""
