"created_utc","gross","fee","net"
"2020-05-26 19:35:25","12.95","0.68","12.27"
"2020-05-26 19:37:51","14.97","0.73","14.24"
"2020-05-26 20:02:27","12.95","0.68","12.27"
"2020-05-26 20:12:42","12.95","0.68","12.27"
"2020-05-26 20:43:57","12.95","0.68","12.27"
"2020-05-26 21:28:22","12.95","0.68","12.27"
"2020-05-26 22:00:30","12.95","0.68","12.27"
"2020-05-26 22:13:46","12.95","0.68","12.27"
"2020-05-26 23:27:17","14.97","0.73","14.24"
"2020-05-26 23:29:49","12.95","0.68","12.27"
"2020-05-26 23:38:28","12.95","0.48","12.47"
"2020-05-27 00:13:20","12.95","0.68","12.27"
"2020-05-27 01:07:04","12.95","0.68","12.27"
"2020-05-27 01:20:41","12.95","0.68","12.27"
"2020-05-27 01:20:48","12.95","0.68","12.27"
"2020-05-27 02:05:59","19.95","0.88","19.07"
"2020-05-27 02:16:41","12.95","0.68","12.27"
"2020-05-27 10:31:14","12.95","0.48","12.47"
"2020-05-27 11:06:30","12.95","0.68","12.27"
"2020-05-27 11:13:19","59.92","2.04","57.88"
"2020-05-27 12:39:39","29.95","1.17","28.78"
"2020-05-27 13:09:31","14.97","0.73","14.24"
"2020-05-27 13:54:16","12.95","0.68","12.27"
"2020-05-27 14:37:52","12.95","0.68","12.27"
"2020-05-27 15:46:22","12.95","0.48","12.47"
"2020-05-27 17:58:17","12.95","0.68","12.27"
"2020-05-27 18:14:05","12.95","0.68","12.27"
"2020-05-27 20:13:37","12.95","0.68","12.27"
"2020-05-27 20:21:36","12.95","0.68","12.27"
"2020-05-27 20:54:24","12.95","0.68","12.27"
"2020-05-27 23:29:24","12.95","0.68","12.27"
"2020-05-27 23:38:30","14.97","0.73","14.24"
"2020-05-28 00:19:23","30.97","1.20","29.77"
"2020-05-28 01:03:52","12.95","0.68","12.27"
"2020-05-28 01:04:42","12.95","0.68","12.27"
"2020-05-28 01:05:07","19.95","0.88","19.07"
"2020-05-28 01:28:33","12.95","0.68","12.27"
"2020-05-28 01:39:32","12.95","0.68","12.27"
"2020-05-28 01:43:17","14.97","0.73","14.24"
"2020-05-28 01:50:40","19.95","0.88","19.07"
"2020-05-28 01:58:24","12.95","0.68","12.27"
"2020-05-28 02:46:12","12.95","0.68","12.27"
"2020-05-28 03:21:12","12.95","0.68","12.27"
"2020-05-28 03:27:36","12.95","0.68","12.27"
"2020-05-28 03:51:06","14.97","0.73","14.24"
"2020-05-28 04:37:15","12.95","0.68","12.27"
"2020-05-28 05:48:33","12.95","0.68","12.27"
"2020-05-28 05:58:49","12.95","0.68","12.27"
"2020-05-28 12:51:41","12.95","0.68","12.27"
"2020-05-28 13:10:12","12.95","0.68","12.27"
"2020-05-28 13:49:03","12.95","0.68","12.27"
"2020-05-28 14:07:12","12.95","0.68","12.27"
"2020-05-28 14:08:46","5.84","0.47","5.37"
"2020-05-28 14:48:20","12.95","0.68","12.27"
"2020-05-28 15:15:30","12.95","0.68","12.27"
"2020-05-28 15:39:25","12.95","0.68","12.27"
"2020-05-28 15:54:23","12.95","0.48","12.47"
"2020-05-28 16:24:33","12.95","0.68","12.27"
"2020-05-28 16:24:40","12.95","0.48","12.47"
"2020-05-28 16:46:26","12.95","0.68","12.27"
"2020-05-28 17:36:50","12.95","0.48","12.47"
"2020-05-28 17:39:42","12.95","0.48","12.47"
"2020-05-28 18:58:34","12.95","0.48","12.47"
"2020-05-28 19:10:55","12.95","0.68","12.27"
"2020-05-28 19:42:02","12.95","0.68","12.27"
"2020-05-28 21:23:18","12.95","0.48","12.47"
"2020-05-28 21:24:59","5.84","0.38","5.46"
"2020-05-28 21:31:07","14.78","0.51","14.27"
"2020-05-28 22:02:20","12.95","0.68","12.27"
"2020-05-28 22:38:58","12.95","0.68","12.27"
"2020-05-28 22:42:57","12.95","0.68","12.27"
"2020-05-29 00:03:04","21.93","0.94","20.99"
"2020-05-29 01:22:02","14.78","0.73","14.05"
"2020-05-29 01:39:05","12.95","0.68","12.27"
"2020-05-29 01:48:17","14.78","0.73","14.05"
"2020-05-29 01:48:20","12.95","0.68","12.27"
"2020-05-29 03:52:20","12.95","0.68","12.27"
"2020-05-29 03:54:01","14.78","0.73","14.05"
"2020-05-29 05:31:40","12.95","0.48","12.47"
"2020-05-29 07:52:30","16.07","0.52","15.55"
